question_order,question,age,topic
108,"Во время смены подгузника обращает внимание на лицо того, кто меняет подгузник (если ребенок слепой, не отвечайте на этот вопрос)",2,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
109,Остаётся спокойным во время смены подгузника,4,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
110,Часто намеренно вокализирует во время смены подгузника,8,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
111,"Сообщает, когда нуждается в смене подгузника",12,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
112,"Понимает слова, связанные с туалетом",18,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
113,Сидит на горшке необходимое количество времени,18,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
114,Использует слова или жесты во время смены подгузника / туалета,18,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
115,Участвует в процессе мытья рук,18,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
116,"Если посадили на горшок, делает все «дела»",24,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
117,"Снимает штанишки, чтобы сходить в туалет",24,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
118,С напоминанием моет руки после туалета,24,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
119,Может не испачкать штанишки три часа (если уже частично имеет навык пользования туалетом),24,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
120,Надевает штанишки после использования туалета,26,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
121,"Когда ребенок говорит, что хочет в туалет, он действительно хочет в туалет (не ложная тревога)",28,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
122,Просит помочь с вытиранием после туалета,30,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
123,Время от времени остается сухим всю ночь,32,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
124,Полностью сам управляется с туалетом,36,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
125,"Сотрудничает с взрослым, когда он просит ребенка сходить в туалет",36,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
126,"Удовлетворены ли Вы тем, как протекает рутина?",0,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
127,Хотите ли Вы изменить рутину в лучшую ,0,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
127,Хотите ли Вы изменить рутину в лучшую,0,ТУАЛЕТ / СМЕНА ПОДГУЗНИКА
128,Принимает окончание игры с другими без расстройства,0,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
129,Следит взглядом за человеком ,2,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
129,Следит взглядом за человеком,2,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
130,"Оживляется, когда взрослый подходит к нему",2,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
131,Приглашает взрослого поиграть вокализациями или улыбкой,3,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
132,Смотрит на человека и вокализирует в ответ на свое имя (для слепых детей – только вокализирует),5,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
133,"Участвует в простых играх с взрослым или старшими детьми, например ку-ку",6,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
134,Играет с другими людьми без суеты и расстройства,6,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
135,"Подражает другим людям во время игры (например, звукам, простым движениям)",8,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
136,Смеется над разными удивительными ситуациями,8,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
137,"Демонстрирует понимание слов, обозначающих игры или игрушки",10,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
138,Говорит или лепечет по очереди со взрослым во время разговора,10,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
139,"Повторяет звуки или жесты, если над ними смеются",10,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
140,"Использует простые слова или жесты, чтобы попросить продолжения игры",10,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
141,"Ходит больше, чем ползает, чтобы приблизиться к другим людям во время игры",12,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
142,"Если приглашают поиграть, отзывается",12,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
143,Использует слова или жесты во время игры,12,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
144,"Дает понять, чего он хочет во время игры",14,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
145,Соблюдает очередь во время совместной игры,18,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
146,"Использует предложение из 2-х слов, чтобы попросить или прокомментировать",20,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
147,Убирает игрушки по указанию взрослого,20,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
148,"Дает понять, что игрушка принадлежит ему",22,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
149,Поет фрагменты песенок,22,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
150,В основном умеет контролировать свои движения во время игры с другими людьми,22,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
151,Отвечает на конфликт плачем или становясь агрессивным,24,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
152,"Вовлекается в простые игры «понарошку»: например «в больницу», кормление куклы и др.",24,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
153,"Защищает свою собственность, говорит «мое»",24,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
154,Поддерживает игру с другими людьми около 15 минут,30,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
155,Руководит другими детьми,36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
156,Разлучается с родителями для игры с другими людьми без тревоги,36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
157,"Играя с другими, не кусает и не бьет их",36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
158,Инициирует игру с другими детьми,36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
159,Во время игры-притворства назначает роли другим игрокам ,36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
159,Во время игры-притворства назначает роли другим игрокам,36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
160,"Знает, как попросить другого ребенка поменяться игрушками",36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
161,"Во время игры не портит то, что сделали другие",36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
162,Сотрудничает с взрослым во время игры (выполняет просьбы),36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
163,Играет в громкие и тихие игры в подходящее время и в подходящей ситуации,36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
164,Сохраняет молчание в игре в прятки,36,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
165,"Удовлетворены ли Вы тем, как протекает рутина?",0,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
166,Хотите ли Вы изменить рутину в лучшую сторону?,0,ИГРА С ДРУГИМИ ЛЮДЬМИ / ДЕТЬМИ
167,"Переходит к/от самостоятельной игры, не расстраиваясь",1,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
168,"Повторяет получившиеся действия с игрушками (стучит по игрушке руками, ногами)",3,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
169,Исследует предметы руками и ртом,4,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
170,Захватывает свою ногу и тянет ее в рот,4,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
171,Самостоятельно берет игрушки руками,5,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
172,"Ищет невидимые предметы, включая соску или бутылку",7,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
173,"Тянется до игрушки, которая вне досягаемости",7,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
174,Лепечет во время игры,8,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
175,Сам играет с игрушками 5-10 минут,8,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
176,"Трогает предметы различной текстуры (пальчиковые краски, массу для лепки, песок, липкие вещества)",8,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
177,"Ползает на четвереньках, чтобы достать игрушку",8,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
178,Имеет любимые игрушки и часто выбирает их для игры,8,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
179,Играет с разными игрушками,8,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
180,"Если взрослый предлагает, легко выбирает игрушку, с которой хочет поиграть",10,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
181,Подбирает небольшие предметы кончиками указательного и большого пальцев (пинцетный захват),12,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
182,Кладет (кидает) игрушки в контейнер и достает их оттуда,12,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
183,"Соединяет игрушки вместе и раздвигает их, например детали конструктора Дупло",12,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
184,Инициирует самостоятельную игру,12,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
185,"«Рисует» красками, маркерами, мелками (оставляет следы на бумаге)",14,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
186,Называет предметы во время игры,18,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
187,Конструирует во время игры (строит башенку или дорожку),20,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
188,"Знает, где хранятся игрушки и предметы (идет к шкафу, чтобы найти игрушку, кладет вещи на место)",24,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
189,Держит карандаш большим и указательным пальцем (не в кулаке),24,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
190,Играет с большинством игрушек подходящим способом,24,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
191,Притворяется кем-то или чем-то,24,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
192,Представляет предметы чем-либо другим,24,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
193,"Инициирует сложную (не повторяющуюся) игру, например в доктора",24,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
194,"Играет с куклами (качает, кормит, лечит)",24,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
195,"Использует знание основных цветов в игре (подбирает по цвету чашки и блюдца, кубики, лего)",28,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
196,"Не сдается, если встречается с трудностями",28,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
197,Самостоятельно следит за безопасностью во время игры (не играет у горячей плиты),28,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
198,Сотрудничает с взрослым во время игры (выполняет указания),36,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
199,"Знает место, где можно играть, и его границы",36,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
200,"Удовлетворены ли Вы тем, как протекает рутина?",0,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
201,Хотите ли Вы изменить рутину в лучшую сторону?,0,"ВРЕМЯ, КОГДА ИГРАЕТ ОДИН"
202,Не плачет во время купания,1,КУПАНИЕ / УМЫВАНИЕ
203,"Улыбается, отражению в зеркале",5,КУПАНИЕ / УМЫВАНИЕ
204,"Смотрит в глаза, или иным способом взаимодействует со взрослым во время купания",6,КУПАНИЕ / УМЫВАНИЕ
205,Идет купаться/выходит из ванны без расстройства,6,КУПАНИЕ / УМЫВАНИЕ
206,Сидит во время купания в специальном стуле,7,КУПАНИЕ / УМЫВАНИЕ
207,Брызгается в воде,7,КУПАНИЕ / УМЫВАНИЕ
208,Держит мочалку,8,КУПАНИЕ / УМЫВАНИЕ
209,Играет с игрушками для купания,8,КУПАНИЕ / УМЫВАНИЕ
210,"Достает игрушки, которые упали в воду",9,КУПАНИЕ / УМЫВАНИЕ
211,"Демонстрирует понимание слов, связанных с купанием",9,КУПАНИЕ / УМЫВАНИЕ
212,Шалит и играет в ванной,10,КУПАНИЕ / УМЫВАНИЕ
213,"Позволяет взрослому чистить ему зубы, не протестуя",12,КУПАНИЕ / УМЫВАНИЕ
214,Сотрудничает со взрослым во время подстригания ногтей,12,КУПАНИЕ / УМЫВАНИЕ
215,"Протягивает ручки и ножки, чтобы помыть, или наклоняет голову, чтобы помыть волосы",18,КУПАНИЕ / УМЫВАНИЕ
216,"Дает знать о том, что хочет делать во время купания",18,КУПАНИЕ / УМЫВАНИЕ
217,Пользуется словами или жестами во время купания,18,КУПАНИЕ / УМЫВАНИЕ
218,"Дает знать словами или жестами, если температура воды некомфортная",20,КУПАНИЕ / УМЫВАНИЕ
219,Убирает игрушки для купания по просьбе ,20,КУПАНИЕ / УМЫВАНИЕ
219,Убирает игрушки для купания по просьбе,20,КУПАНИЕ / УМЫВАНИЕ
220,Самостоятельно моет части тела,24,КУПАНИЕ / УМЫВАНИЕ
221,"Сотрудничает со взрослым, когда причесывается",24,КУПАНИЕ / УМЫВАНИЕ
222,Выбирает игрушки для купания,24,КУПАНИЕ / УМЫВАНИЕ
223,Позволяет собрать волосы / причесать без плача,24,КУПАНИЕ / УМЫВАНИЕ
224,Умывает лицо самостоятельно,36,КУПАНИЕ / УМЫВАНИЕ
225,Позволяет мыть голову без плача,36,КУПАНИЕ / УМЫВАНИЕ
226,Выполняет требования взрослого во время купания,36,КУПАНИЕ / УМЫВАНИЕ
227,Самостоятельно чистит зубы (под контролем взрослого),36,КУПАНИЕ / УМЫВАНИЕ
228,"Может причесаться, не всегда качественно",36,КУПАНИЕ / УМЫВАНИЕ
229,Вытирает лицо и руки самостоятельно,36,КУПАНИЕ / УМЫВАНИЕ
230,"Может выбрать зубную пасту, заколки для волос и т.п.",36,КУПАНИЕ / УМЫВАНИЕ
231,"Удовлетворены ли Вы тем, как протекает рутина?",0,КУПАНИЕ / УМЫВАНИЕ
232,Хотите ли Вы изменить рутину в лучшую сторону?,0,КУПАНИЕ / УМЫВАНИЕ
233,Переходит от одного вида досуга к другому без расстройства,1,ДОСУГ / КНИГИ / ТВ
234,Наблюдает за взрослым человеком (для детей с нарушением зрения пропустить),2,ДОСУГ / КНИГИ / ТВ
235,"Играет, лежа на животе и пользуется руками во время игры",4,ДОСУГ / КНИГИ / ТВ
236,"Получает удовольствие от игры с взрослым лицом к лицу (типа ку-ку или забодаю): слушает, смотрит, улыбается, трогает лицо и т.д.",5,ДОСУГ / КНИГИ / ТВ
237,Сидит и самостоятельно играет с игрушками короткое время (3-5 минут),7,ДОСУГ / КНИГИ / ТВ
238,Может поиграть самостоятельно не менее 10 минут,8,ДОСУГ / КНИГИ / ТВ
239,Некоторое время 3-5 минут слушает чтение книги вместе со взрослым (находится рядом),12,ДОСУГ / КНИГИ / ТВ
240,Исследует ящики и шкафы,12,ДОСУГ / КНИГИ / ТВ
241,"Нравится рассматривать книги, указывает на картинки в книге",14,ДОСУГ / КНИГИ / ТВ
242,Есть любимая книга,16,ДОСУГ / КНИГИ / ТВ
243,Есть любимая ТВ программа,20,ДОСУГ / КНИГИ / ТВ
244,"Дает знать, что хочет посмотреть ТВ",20,ДОСУГ / КНИГИ / ТВ
245,Играет самостоятельно с игрушками не менее 15 минут,24,ДОСУГ / КНИГИ / ТВ
246,"Спокойно сидит во время просмотра ТВ, короткое время до 10 минут",28,ДОСУГ / КНИГИ / ТВ
247,"Делает вид, что читает книгу",30,ДОСУГ / КНИГИ / ТВ
248,"Может сказать, какую передачу хочет посмотреть ",36,ДОСУГ / КНИГИ / ТВ
248,"Может сказать, какую передачу хочет посмотреть",36,ДОСУГ / КНИГИ / ТВ
249,"Выполняет требования взрослого во время чтения книг или просмотра ТВ (например, покажи, скажи, повтори)",36,ДОСУГ / КНИГИ / ТВ
250,Спокойно смотрит телевизор самостоятельно,36,ДОСУГ / КНИГИ / ТВ
251,"Нравится, когда взрослый читает ему книгу, спокойно слушает (8-10 минут)",36,ДОСУГ / КНИГИ / ТВ
252,"Спокойно играет, когда взрослые смотрят ТВ",36,ДОСУГ / КНИГИ / ТВ
253,"Удовлетворены ли Вы тем, как протекает рутина?",0,ДОСУГ / КНИГИ / ТВ
254,Хотите ли Вы изменить рутину в лучшую сторону?,0,ДОСУГ / КНИГИ / ТВ
255,"Понимает, что собирается на прогулку, сотрудничает во время одевания",12,ПРОГУЛКА
256,Ходит на прогулке,14,ПРОГУЛКА
